,0
2386,1
2387,3
2388,4
2389,1
2390,2
2391,2
2392,1
2393,2
2394,2
2395,2
2396,4
2397,1
2398,2
2399,5
2400,1
2401,4
2402,1
2403,1
2404,1
2405,1
2406,1
2407,7
2408,1
2409,1
2410,1
2411,1
2412,1
2413,1
2414,1
2415,2
2416,1
2417,2
2418,1
2419,1
2420,1
2421,1
2422,3
2423,1
2424,1
2425,2
2426,2
2427,1
2428,1
2429,3
2430,1
2431,3
2432,1
2433,2
2434,3
2435,2
2436,3
2437,1
2438,3
2439,5
2440,3
2441,1
2442,2
2443,1
2444,1
2445,1
2446,2
2447,2
2448,1
2449,1
2450,2
2451,4
2452,1
2453,2
2454,1
2455,1
2456,2
2457,1
2458,1
2459,1
2460,1
2461,1
2462,3
2463,1
2464,1
2465,9
2466,1
2467,1
2468,2
2469,1
2470,1
2471,8
2472,1
2473,1
2474,3
2475,3
2476,1
2477,2
2478,2
2479,1
2480,1
2481,3
2482,3
2483,1
2484,2
2485,2
2486,1
2487,3
2488,1
2489,2
2490,1
2491,2
2492,1
2493,1
2494,1
2495,1
2496,1
2497,1
2498,2
2499,2
2500,3
2501,4
2502,2
2503,3
2504,4
2505,5
2506,1
2507,1
2508,1
2509,1
2510,3
2511,2
2512,2
2513,2
2514,3
2515,3
2516,7
2517,1
2518,1
2519,1
2520,1
2521,3
2522,1
2523,1
2524,4
2525,2
2526,4
2527,1
2528,3
2529,4
2530,1
2531,1
2532,2
2533,2
2534,1
2535,3
2536,1
2537,2
2538,1
2539,1
2540,1
2541,2
2542,3
2543,4
2544,3
2545,5
2546,5
2547,5
2548,1
2549,1
2550,4
2551,9
2552,4
2553,1
2554,2
2555,2
2556,3
2557,2
2558,2
2559,1
2560,1
2561,2
2562,3
2563,1
2564,4
2565,2
2566,3
2567,7
2568,2
2569,2
2570,3
2571,1
2572,1
2573,4
2574,1
2575,2
2576,2
2577,9
2578,3
2579,2
2580,1
2581,1
2582,1
2583,1
2584,1
2585,1
2586,1
2587,3
2588,1
2589,2
2590,2
2591,3
2592,2
2593,2
2594,2
2595,1
2596,7
2597,1
2598,2
2599,1
2600,1
2601,4
2602,1
2603,2
2604,1
2605,1
2606,2
2607,1
2608,1
2609,3
2610,8
2611,3
2612,1
2613,1
2614,1
2615,1
2616,1
2617,1
2618,5
2619,1
2620,1
2621,1
2622,1
2623,1
2624,3
